X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32
7.43%,112245,112227,"$5,000","$5,000","$3,975", 36 months,A,A2,Norman G. Olson Insurance,6 years,RENT,40000,not verified,Jul-07,"Hello!  I am purchasing a used car for my fiancee from a local person in the chicagoland area.  I have put together $6000 but am looking for $4000-5000 more to buy the car.    I have a steady job as a manager with insurance agent/broker at a heavily expanding regional brokerage.  I do not work off of commissions - all salary.  I work more as an underwriter helping other brokers place buisiness with us.  I have no bills, as I have a company gas card, I currently live at home taking care of my father who has been taken ill recently and is about to return to work soon.    I want to purchase this car for her soon, and thats why I need the money now.  I could have the loan paid back in 2 months- but I understand the minimum is 6 months.  I intend to do that.  This car is a deal, and will go fast - so I need the cash and she needs the car.",car,$5000 car loan to be paid back in 6mo,547xx,WI,2.55,0,Feb-85,2,0,0,4,0,2562,14%,7,f
10.28%,112323,107671,"$3,500","$3,500","$1,125", 36 months,C,C1,The Dartmouth Company,< 1 year,RENT,20000,not verified,Jul-07,I'm a working professional living in Boston. I'm moving into a new apartment. I dont have enough cash to front for the first/last months rent and security deposit. This will make a great investment for you and will give me a place to live.,moving,Renting Apartment: Need security deposit,021xx,MA,1.5,0,Sep-03,0,0,0,17,0,1882,32.40%,18,f
11.86%,112496,112493,"$3,000","$3,000",$525, 36 months,D,D1,Fairfield Manufacturing,2 years,MORTGAGE,36153,not verified,Aug-07,I am currently paying for 2 car loans.  Mine which is $171.00/month and my girlfriends which is $226.25/month.  Together they are $397.25/month.  Both cars require full coverage insurance due to financing but neither car is worth much more than the deductible which makes full coverage a pointless expense.  My goal is to combine the payments into one loan and reduce the insurance coverage to liability on the vehicles.   This will do two things 1. reduce the minimum monthly payment allowing for extra savings for emergency purposes and 2. Reduce the overall cost of by decreasing the insurance costs.  I am gainfully employed in a manufacturing facility earning $2800 net per month.   Total Expenses:  $2571  Housing+Utilities+TV+Internet=$996 Food+Entertainment+Fuel=$633 Cars+Insurance=$530 Childcare=$412  After loan Expenses: $2211  Housing+Utilities+TV+Internet=$996 Food+Entertainment+Fuel=$633 Cars+Insurance=$170 Childcare=$412  The extra money that I receive monthly will be invested in my ING Direct account for a down payment on a 2007 Toyota Prius that will replace my aging gas guzzling 1996 Cadillac Sedan Deville. ,debt_consolidation,Merging 2 Accounts into one to save $$,479xx,IN,7.47,0,Jul-00,2,0,61,3,1,1064,70.90%,6,f
8.07%,113156,113146,"$3,500","$3,500","$3,500", 36 months,A,A4,Verizon,5 years,RENT,98000,not verified,Aug-07,Loan to pay pay off high interest student loan I have.,credit_card,Help student lower interest rate,070xx,NJ,8.52,1,Nov-93,0,15,0,19,0,6432,6%,37,f
10.59%,113179,113093,"$1,000","$1,000",$950, 36 months,C,C2,Invision Power Services,2 years,MORTGAGE,33990,not verified,Aug-07,"I am getting married in 2009. My fiancee and I have a wedding site picked out, but it requires a deposit to secure it. The site is booked up all through 2008, so we want to get it booked as soon as possible.",wedding,Wedding site deposit,245xx,VA,14.47,0,Jul-04,1,0,0,9,0,4485,36.90%,11,f
9.96%,113194,113115,"$3,500","$3,500","$1,725", 36 months,B,B5,Aramis Designer Fragrances/Estee Lauder,1 year,RENT,78000,not verified,Aug-07,Loan to pay off high interest student loan.,other,Paying off high interest student loan.,070xx,NJ,11.06,1,Nov-93,0,5,0,13,0,16310,20.50%,32,f
9.64%,116040,116037,"$5,000","$5,000",$775, 36 months,B,B4,MasterCard International,3 years,MORTGAGE,130000,not verified,Aug-07,We had some plumbing issues and thought we would try this rather than put it on a credit card.,debt_consolidation,Pipes burst,068xx,CT,8.55,0,Apr-91,0,38,0,9,0,20969,40.20%,26,f
13.75%,116582,116502,"$10,000","$10,000",$975, 36 months,E,E2,,< 1 year,RENT,35000,not verified,Aug-07,I found out this website from Wall Street Journal.  My main goal is to pay off all my credit card debt and start a new life asap.,debt_consolidation,CREDIT CARD DEBT,101xx,NY,17.38,0,Mar-00,0,44,0,10,0,22213,65.90%,22,f
7.75%,117056,117046,"$5,000","$5,000","$1,475", 36 months,A,A3,Otolaryngology/ENT Practice,1 year,MORTGAGE,225000,not verified,Aug-07,"Screening in back porch, new porch furniture, outdoor rug",home_improvement,Backyard improvements,531xx,WI,6.48,0,Dec-92,1,47,0,12,0,2160,2.30%,22,f
7.43%,117249,116607,"$5,000","$5,000","$1,300", 36 months,A,A2,,< 1 year,MORTGAGE,70000,not verified,Aug-07,"Need to take a loan to pay for dentures to replace the set that was accidentally broken at home.  Dentures are really expensive, and getting this loan would help me spread the payments out over 3 years without having to use my credit cards.",credit_card,Denture Payment,850xx,AZ,4.56,0,Sep-80,0,0,0,13,0,813,1%,36,f
8.07%,117794,94256,"$7,500","$7,500",$400, 36 months,A,A4,Alliance Financial,1 year,MORTGAGE,150000,not verified,Aug-07,$7500 loan to finish building home.,home_improvement,FOXBORO,023xx,MA,2.72,0,May-93,4,0,0,15,0,23678,24.40%,60,f
9.96%,117863,117849,"$8,000","$8,000","$2,275", 36 months,B,B5,Inglis Farm,3 years,RENT,48000,not verified,Aug-07,"My Wife & I are having a hard time paying off our credit card bills and student loands due to sky-rocketing interest rates. We are doing everything in our power to pay off our debt responsibly, but everytime we take a few steps forward, the interest rates set us back that much further!  We are no longer using our credit cards. We have put a budget in place. Now all we need is a little help.  Thank you!",debt_consolidation,Credit Cards & Student Loans,210xx,MD,15.13,0,May-00,3,0,0,10,0,11289,47.80%,15,f
15.01%,118523,118519,"$6,500","$6,500",$225, 36 months,F,F1,Universal Advertising,9 years,MORTGAGE,213000,not verified,Aug-07,"Used to continue to grow CollegeClassifieds.com. Began marketing in March 2007. CollegeClassifieds.com has continually outranked competitors since March of 2007 when I began promoting the site. ::  http://www.quantcast.com/collegeclassifieds.com and http://www.collegeclassifieds.com/mint/  and http://snapshot.compete.com/collegeclassifieds.com+collegemedium.com+chegg.com?metric=uv   Currently working with 11 college newspapers in Atlanta, Tampa, Detroit, and other cities as exclusive seller and servicer of classifieds for college papers. Also broker for 150 total college newspapers.  Funds to be used to further transition these existing paid advertisers I currently work with, from print ads, to paid on line advertising on CollegeClassifieds.com. Specifically, funds go to ward, local, on the ground sales reps' efforts ($3k), on line advertising ($10k), enticements to exisiting off line (print) partners to promote CollegeClassifieds.com ($3-4k), and infrastructre (technical) (apx. $8-10k).",small_business,Business Financing Aug 2007,300xx,GA,6.45,0,Jul-90,0,0,0,11,0,56411,75.30%,28,f
,118533,117783,"$2,500","$2,500",$825, 36 months,B,B4,AMZ Marketing,< 1 year,MORTGAGE,75000,not verified,Aug-07,Putting in a new shower and fixtures.,home_improvement,re-model bathroom,685xx,NE,20,0,Feb-94,3,0,0,9,0,269,3.80%,35,f
12.80%,118823,118026,"$2,500","$2,500",$675, 36 months,D,D4,Nebraska Occupational Therapy,< 1 year,MORTGAGE,32000,not verified,Aug-07,Working on fixing my kitchen. I would like to add new countertops and sink.,home_improvement,Need to put in new countertops.,685xx,NE,20,0,Jul-92,1,0,0,11,0,3408,35.10%,32,f
11.22%,119043,119040,"$15,450","$15,450",$600, 36 months,C,C4,ARIN,2 years,MORTGAGE,40000,not verified,Aug-07,Thank you for reviewing my request.  This loan will be used to pay off credit cards and a doctor bill. The credit cards that will be paid are as follows:  American Express   $700    30% American Express   $7036  30% Visa                        $5000  10.99% JC Penny                $708    21% Kohls                      $408   21.99% Doctor bill               $1000   I earn $2356 a month and my husband earns $3624 a month. We earn together $5980 a month.  Our expenses are as follows:  Mortgage                $1876 2nd mortgage         $680 Utilities                    $300 Cars payment          $556 Gas (car)                  $220 cell phones              $167 credit cards              $550 clothes                     $100 food entertainment  $200  We would try a home loan but housing market as fallen below what our house use to be last year so that is currently not an option for us. Thank you for taking the time to read my request. God bless   ,debt_consolidation,paying credit cards and doctor bill.,201xx,VA,13.5,0,Nov-92,3,54,111,13,1,6513,34.30%,29,f
7.43%,120215,118760,"$4,000","$4,000","$3,575", 36 months,A,A2,Community Environmental Center,< 1 year,RENT,40000,not verified,Aug-07,"I'm investing $5,000 of my own savings upfront and am requesting another $4,000 to put towards taking a 9-month intensive Regenerative Design & Nature Awareness Training course at the Regenerative Design Institute.  I am a mechanical engineer currently working in sustainable building consulting and I wish to take this course to further my personal growth and career credentials.",educational,Engineer seeks Environmental Training,080xx,NJ,3.45,0,Nov-02,0,0,0,2,0,330,11%,4,f
8.70%,120374,119635,"$2,000","$2,000",$475, 36 months,B,B1,North Greenwich Financial LLC,< 1 year,RENT,70000,not verified,Aug-07,"I just got married and ran up some debt during my honeymoon on my credit card. I despise carrying a balance on credit cards with a 18% APR. Balance transfers are no good either. Sure, issuers offer 0% introductory rate but they are a tease. They come with at least a 3% transfer fee so there is no value in transferring a $2000 balance to a card with an introductory teaser rate. Plus, if I happen to be late for a payment, they will slap with with retroactive interest and increase my rate to 20% - 30%. ",credit_card,Zach's Pre-Blis Loan,100xx,NY,6.07,0,Aug-00,1,24,0,13,0,5967,19.80%,17,f
10.91%,120525,120227,"$4,000","$4,000","$1,475", 36 months,C,C3,Starbucks,1 year,RENT,18000,not verified,Aug-07,"Hello, i am requesting a loan in order to buy a ""new"" car. I currently own a 1992 buick. it has treated me well but the upkeep along with the gas is becoming, increasingly, more than the car is worth. ",car,Not so new car,232xx,VA,18,0,Aug-01,1,0,0,4,0,5533,79.60%,5,f
,121426,121423,"$3,000","$3,000","$2,975", 36 months,A,A3,Impress,10+ years,OWN,125000,not verified,Aug-07,I wish to borrow $3000 to do landscape improvements.,home_improvement,landscape improvement,981xx,WA,2.14,0,Sep-84,0,0,0,15,0,21050,1%,24,f
7.75%,121530,121527,"$3,000","$3,000","$2,225", 36 months,A,A3,Impress,9 years,OWN,50000,not verified,Aug-07,Vacation to China,vacation,Vacation,981xx,WA,5.35,0,Sep-84,0,0,0,17,0,21050,0.70%,29,f
8.70%,121535,121373,"$2,800","$2,800","$1,625", 36 months,B,B1,,< 1 year,NONE,120000,not verified,Aug-07,"The family is expanding in October and we are trying to prepare the best we can. We heard of Lending Club on Facebook and would like to borrow $2,800. Thank you for contributing!",other,Baby is coming,024xx,MA,15,0,May-99,1,,,6,0,8155,14.90%,8,f
9.64%,121568,121574,"$4,000","$4,000","$1,925", 36 months,B,B4,,< 1 year,NONE,100000,not verified,Aug-07,"I took a high interest loan from Citibank in 2005 that I can now refinance at better rates because my credit score has improved. The balance due under the loan is $4,000.",other,Refinancing high interest loan,950xx,CA,15,0,May-99,1,,,6,0,8155,14.90%,8,f
8.70%,121824,121808,"$3,000","$3,000","$2,175", 36 months,B,B1,Fleurissima,5 years,MORTGAGE,62000,not verified,Aug-07,We are looking to upgrade our kitchen with a new Marble countertop and floor marble tiles,home_improvement,Home improvement project,331xx,FL,12.23,0,Feb-00,0,0,0,10,0,3678,30.70%,14,f
12.17%,122070,120407,"$5,400","$5,400","$1,650", 36 months,D,D2,Citizens Financial Group,1 year,MORTGAGE,35000,not verified,Aug-07,"I am looking to refinance my Prosper loan, which is currently at 22.75%.",debt_consolidation,Refinancing Prosper loan...,023xx,MA,7.1,0,Jul-99,2,42,0,10,0,2040,36.20%,21,f
15.33%,122404,122398,"$12,750","$12,750","$1,600", 36 months,F,F2,PerTrac Financial Solutions,1 year,RENT,60000,not verified,Aug-07,"I'm using the money to consolidate my credit card debt. The debt ballooned because of some bad decisions I made. I bought a car I could not afford and I was unemployed for 8 months after I graduated from college. The debt is spread over 4 cards of various balances with interest rates from 19%-25%. The car (2004 Mazda RX-8) which is fully paid for is on consignment at a private dealer that is waiting to sell. Unfortunately as the car just sits there, I'm still being charged a high interest rate. ",credit_card,Consolidating Credit Card Debt,100xx,NY,19.52,0,Mar-00,2,0,0,9,0,33074,68.80%,9,f
7.75%,122637,104675,"$4,000","$4,000","$1,550", 36 months,A,A3,Nestle Waters North America,1 year,OWN,61800,not verified,Aug-07,"I want to feel financially secure about renting a new apartment. So I need extra money to pay upfront first month rent, last month rent, and possibly a broker's fee. I also need some money leftover to buy essentials for the apartment.",other,Apartment,069xx,CT,3.46,0,Sep-00,0,0,0,12,0,1918,17.10%,16,f
15.33%,122718,122713,"$18,500","$18,500",$800, 36 months,F,F2,Goldman Sachs & Co.,1 year,RENT,90000,not verified,Aug-07,"Purpose of loan: I will be using the loan to pay off my credit card balances which have a very high interest rate (3 cards ranging from 18%-25%). This will also help me consolidate my debt into one single monthly payment which would enable me to pay off my debt faster and more efficiently.  My financial situation: I work for one of the biggest investment banks in the country and have a great job in the financial field. I make a good salary and have always been promt in paying my bills. Also, my year end bonus should should help me considerably in paying off the loan even earlier than 3 years. I have never been late in making any payments or bills and do not owe any other form of debt except my credit cards. Although my credit score is lower,  I assure you that it is purely due to the fact that I do not have sufficient credit history and do not own a home. I am a good tax paying, law abiding resident of New York City.",credit_card,Paying off Credit Card balances,100xx,NY,5.24,0,Oct-02,0,0,0,8,0,22379,62.20%,15,f
9.64%,123228,120995,"$20,000","$20,000",$975, 36 months,B,B4,UDFI,< 1 year,RENT,96000,not verified,Sep-07,"A bit about me: I have a master's in math from NYU, and I'm currently making over $96,000 a year working as a web developer. I also run my own web design business, which has become more successful and I am looking to expand -- purchase more equipment, and hire one web developer to work with me.  I decided to get a loan for two reasons:   1) to provide a safety net for me to expand my business. I am currently getting larger projects than I have in the past, and I will need to get another person to help me finish them. Once these projects are done, this investment should pay for itself.  2) I want to establish a lending history with installment loans so that in the future, banks will be able to lend me greater amounts than I am asking for now.  Over the past five years, I have always paid my credit cards on time and that earned me ... well, a score of 729 on Experian, (766 and 768 on TransUnion and Equifax), so I guess you can see I'm a pretty low risk. When I looked at Lending Club I realized that on this site, I could get better terms that I could at any bank! So I decided to post my listing here.  Thank you for reading my request. If you have any questions at all, feel free to contact me on here.",small_business,I am expanding my business.,112xx,NY,2.86,0,Aug-01,0,0,0,4,0,10296,42.50%,8,f
11.54%,123230,80353,"$3,175","$3,175","$1,425", 36 months,C,C5,Tripolitan Films,< 1 year,OWN,15000,not verified,Aug-07,"I am starting my own small business. I am a recent college graduate from Emerson College. I was working on putting together the business plan and proposal to send out to some interested investors when my computer of 5 years broke down. I took it the Apple Store and they recomended just getting a new one. My neighbor has been gracious in allowing me to use his office for the time being.  I am looking to purchase a MacBook Pro 15"" from Apple. I am a filmmaker and my business focuses on that. I have a couple of projects in development and have some interest from investors. I just need to prepare an adequate proposal in order to seal the deal.   This will last me for another 5 years and will be a great benefit to my future and life. I will not forget the help that I recieve from you generous folks.  Please Help!  Check out my website www.tripolitanfilms.com.  Thank you for your time and consideration.  Sincerely,  Hilal Khalil Homaidan",small_business,Young Entrepreneur Needs Computer,015xx,MA,12.24,0,Feb-04,3,0,0,16,0,2867,55.10%,17,f
11.22%,124436,124430,"$4,800","$4,800","$3,075", 36 months,C,C4,University of Nebraska-Lincoln,5 years,RENT,30000,not verified,Sep-07,I would like to borrow this amount to payoff my other credit cards which are charging me very high interest rate,debt_consolidation,Paying off higher interest credit cards,685xx,NE,12.36,0,Oct-02,0,0,0,9,0,12310,86.10%,15,f
8.70%,125671,125668,"$12,125","$12,125","$5,075", 36 months,B,B1,Northwestern Mutual Life Insurance,10+ years,MORTGAGE,150000,not verified,Sep-07,I have taken on credit card debt with several different cards.  This loan will allow me to consolidate that debt at a significantly lower interest rate.  Thanks Lending Club.,debt_consolidation,Get rid of these cards,115xx,NY,4.8,0,Feb-71,0,0,0,10,0,61921,39.10%,27,f
11.22%,125897,124159,"$6,625","$6,625","$2,325", 36 months,C,C4,Digiprotech Learning Systems,2 years,MORTGAGE,88000,not verified,Sep-07,"I would like to refinance my Mastercard whose interest rate is currently very high. I usually have about $1500 set aside for debt servicing after all my bills are paid and I have set aside some for monthly expenses but find a large amount of it is going for fees.  I would like to refinance all my cards (1 more with a 6K balance) but find that there is a limit of some sort. So I am willing to bring down the amount requested to about $5K and once I pay that off then I can borrow another 5K which will finish it out in my opinion. My other card has a 0% balance currently so I can use the freed up funds to pull the balance down on that considerably.  After that, I plan to channel those funds that I had set aside for debt servicing to lending on this network. Looks like a really cool concept...  ",credit_card,Refinancing Mastercard,201xx,VA,18,0,Jun-97,2,0,0,9,0,16738,26.10%,24,f
8.07%,126213,126209,"$9,500","$9,500","$3,900", 36 months,A,A4,Holland & Knight,2 years,OWN,63000,not verified,Sep-07,Purchasing a 33' travel trailer with two slide outs.,other,New Travel Trailer,021xx,MA,3.49,0,May-91,1,0,0,13,0,40384,9.20%,28,f
7.75%,126215,125654,"$5,000","$5,000","$2,100", 36 months,A,A3,Fidelity Information Services,< 1 year,RENT,45000,not verified,Sep-07,I have a personal loan with a bank that I have been paying on for the past year. I want to get a better rate for it with Lendng Club.,debt_consolidation,Transfer Personal Loan,445xx,OH,5,0,Oct-01,2,0,0,8,0,1359,5.60%,16,f
,126287,125787,"$10,000","$10,000","$2,925", 36 months,C,C5,Affinity Marketing Group,9 years,MORTGAGE,225000,not verified,Sep-07,I will use the money to consolidate debt,debt_consolidation,Personal loan,017xx,MA,20,0,Jun-79,2,0,0,18,0,107501,44.80%,34,f
8.07%,126392,125914,"$10,000","$10,000","$2,725", 36 months,A,A4,Tideway Systems,< 1 year,MORTGAGE,173000,not verified,Sep-07,Car financing,car,Car Loan,531xx,WI,0.72,0,Sep-85,3,0,0,14,0,3054,5.60%,41,f
8.07%,126776,126773,"$9,500","$9,500","$1,225", 36 months,A,A4,Affinity Marketing Group,2 years,OWN,90000,not verified,Oct-07,New Travel Trailer with two slide outs for our seasonal site at Camp Calumet.,other,New Travel Trailer,021xx,MA,2.44,0,Nov-83,0,0,0,11,0,40384,9.60%,25,f
9.33%,126788,126782,"$7,500","$7,500","$5,800", 36 months,B,B3,"Suniland Associates, LTD.",6 years,MORTGAGE,93000,not verified,Sep-07,"I have been a private Realtor for the past 6 years. I just recently purchased a home that needs work. The work is including Kitchen, both Master and Guest Bathroom, and adding an extended version of the original driveway.  I'm looking for this home to become an investment.  I have just recently purchased this home for $128,000 and when we start on the renovations that this loan will let me do, according to my very good friend that is an appraisor this home will go up in value by 45%.  Because of improvement of Landscaping, guest and master bathroom, kitchen, new counter and cabinets, plumbing, adding 23 ft. of driveway etc.  Looking to make investment doubled. Thanks",home_improvement,Home Improvement/ Investment ,331xx,FL,9.66,0,Apr-95,3,0,0,9,0,128000,0%,18,f
7.12%,127213,85483,"$2,000","$2,000","$1,575", 36 months,A,A1,U.S. Government,10+ years,MORTGAGE,118000,not verified,Sep-07,consolidate debt,debt_consolidation,consolidate debt,020xx,MA,0.43,0,Jun-91,0,,,14,0,4709,18.50%,8,f
11.86%,127353,127345,"$2,850","$2,850","$1,050", 36 months,D,D1,,3 years,RENT,45000,not verified,Sep-07,I'm an animator living in NYC.  I have about $3000 of credit card debt at a steep interest rate.  I'd love to bring that rate down at Lending Club,other,Adopt-a-Schmuck,100xx,NY,2.8,1,Sep-92,0,4,0,5,0,2850,75%,19,f
15.01%,127472,127460,"$2,125","$2,125",$550, 36 months,F,F1,,< 1 year,MORTGAGE,96000,not verified,Sep-07,I would like to increase advertising through yellow pages and billboards.  I purchased a business 3 years ago and it has almost tripled in that time frame.  My business is near a metropolitan area so advertising costs are expensive.  I want to take out a full page ad in the yellow pages of several books that distribute to our area.  Most businesses that are in competition take out full page ads.  I also want to obtain a new copier outright as the one I have is on a lease and expires in November 2007.  I want to try and avoid going the lease route again.  I am in the process of changing names from the original owner and want to promote the new name boldly with advertising.,small_business,Expanding Business,282xx,NC,16.89,0,Jul-96,0,46,0,5,0,51,0%,9,f
,127504,127500,"$10,000","$10,000","$1,321", 36 months,A,A4,Affinity Marketing Group,6 years,MORTGAGE,150000,not verified,Nov-07,Need to increase the size of our very small bathroom so that my wife and I can both be in there without banging into each other.,home_improvement,Bathroom addition,024xx,MA,5.84,0,Feb-93,0,0,0,7,0,37152,3.70%,19,f
9.33%,127531,127525,"$17,000","$17,000",$300, 36 months,B,B3,NYCPD,10+ years,RENT,75000,not verified,Sep-07,I wish to pay all credit cards with high interest and pay of car.,debt_consolidation,Consolidate Bills,104xx,NY,9.55,0,Jan-92,1,0,0,13,0,3839,16.60%,24,f
8.07%,127719,127716,"$10,000","$10,000","$3,688", 36 months,A,A4,Cambium Learning,3 years,MORTGAGE,85000,not verified,Nov-07,We can no longer wait to replace the roof. Too many leaks and winter is coming soon.  A necessary evil.,home_improvement,New Roof,024xx,MA,3.11,0,Feb-93,0,0,0,6,0,37152,3.70%,12,f
12.17%,127830,127824,"$8,000","$8,000",$150, 36 months,D,D2,Equality Florida,9 years,MORTGAGE,70000,not verified,Sep-07,I'm looking to pay off a high interest credit card.,credit_card,Interest Rate,337xx,FL,10.2,1,Oct-97,0,22,0,15,0,26283,39.50%,20,f
10.28%,128635,127807,"$6,500","$6,500",$500, 36 months,C,C1,Cartus,< 1 year,OWN,45000,not verified,Sep-07,I am looking to pay off credit card debt with this loan. The large majority of this debt was taken on in the wake of a major family emergency. Now that I have graduated from college and have maintained full-time employment for two years I would like to pay my debts off. I have a steady income and the family emergency no longer has a financial impact on my life. I appreciate your help!,debt_consolidation,Debt Consolidation,125xx,NY,5.87,0,Dec-02,0,0,0,6,0,5607,42.20%,7,f
12.49%,128881,128775,"$7,000","$7,000",$75, 36 months,D,D3,The Grove,< 1 year,RENT,23000,not verified,Sep-07,I am wanting to buy an rv to put on my dads property and live in.  I will than be living rent free and will concider my loan payment as rent,other,RV,871xx,NM,5.01,0,Aug-04,3,0,0,3,0,1061,81.90%,4,f
10.28%,129745,129716,"$10,000","$10,000",$275, 36 months,C,C1,"EYOND, Inc.",3 years,RENT,120000,not verified,Sep-07,This loan is to consolidate the remaining balances on a couple of credit cards used to finance small business expenses.,debt_consolidation,small business credit consolidation,282xx,NC,14.4,0,Nov-94,1,0,0,8,0,56740,77.50%,23,f
10.59%,130512,130019,"$7,250","$7,250",$425, 36 months,C,C2,Toyota,5 years,MORTGAGE,57000,not verified,Oct-07,"Refinance an American Express card whose monthly payment is approximately $2,000 per month in order to increase monthly cash flow.",credit_card,Credit Card,210xx,MD,7.22,0,Aug-92,1,0,0,11,0,40598,77.30%,42,f
,130735,130725,"$10,250","$10,250",$925, 36 months,E,E4,Cuban Medical Association,4 years,RENT,72000,not verified,Oct-07,Looking to Consolidate High Interest Car Loans and Credit Cards. Trying to convert all my payments into ONE. Looking to relieve headaches and stress from making payments every 4 to 5 days.  Thanks,debt_consolidation,Consolidate Car Loans and Credit Cards,331xx,FL,17.83,0,Mar-04,1,0,0,28,0,3815,6.50%,32,f
7.43%,130907,130904,"$3,775","$3,775",$925, 36 months,A,A2,SRA Benefits,7 years,MORTGAGE,120000,not verified,Oct-07,"Purpose of loan: I will use the money from this loan to re-invest in Prosper. 100% of the money will be lent to others on Prosper. I have been a lender for 7 months, and see it as a good way to diversify my investments.  Also, I want to analyze Lending Club from a borrower's standpoint.  My financial situation: My expenses are extremely low compared to my income. I have a significant amount of money in liquid investment (checking, savings, funds) which would allow me to pay off this loan at any time if needed.  Monthly net income: $ 10,000+  Monthly expenses: $   Housing: $ 750   Insurance: $ 150   Car expenses: $ 575   Utilities: $ 200   Phone, cable, internet: $ 200   Food, entertainment: $ 600   Clothing, household expenses $ 150   Credit cards and other loans: $ 140   Other expenses: $ 200",other,Re-Lending to others,641xx,MO,0,0,Dec-96,1,64,0,10,0,0,0%,22,f
7.12%,130986,130983,"$2,100","$2,100","$1,825", 36 months,A,A1,,< 1 year,RENT,110000,not verified,Oct-07,Looking to consolidate higher interest rate debt,debt_consolidation,Debt consolidation,024xx,MA,0.22,0,May-63,0,0,0,4,0,50,0.30%,6,f
15.65%,131223,129367,"$20,000","$20,000","$1,200", 36 months,F,F3,Chevy Chase Bank,6 years,RENT,92000,not verified,Oct-07,"Finance the working capital needs of Cabe Microfinance Capital Management LLC, a new business in which I am involved.",small_business,Working Capital,208xx,MD,1.53,0,Nov-97,1,34,0,4,0,4569,56.40%,7,f
10.59%,131387,113921,"$6,000","$6,000",$600, 36 months,C,C2,Columbia University,2 years,RENT,19000,not verified,Oct-07,"I'm currently a fourth-year PhD candidate in English at Columbia University, just beginning my dissertation. I'm hoping to get a loan to help with the living expenses that my stipend doesn't cover; this will enable me to complete my degree much faster than if I were to spend part of my time now working at another job. I'll also be able to pay off my credit cards and thus avoid high rates. Thanks!",educational,finishing PhD & refinancing credit card,100xx,NY,8.15,0,Apr-99,0,0,0,6,0,8528,86.10%,7,f
11.22%,131618,131612,"$9,000","$9,000",$775, 36 months,C,C4,,< 1 year,RENT,32400,not verified,Oct-07,"I would like to refinance my credit cards for a better interest rate. Currently, I am at a 12% interest rate with a card I have had for eight years. I would like to find something smaller and consolidate two cards and be able to pay it off quicker to get a better hold on my debt.",credit_card,Credit Card Debt,852xx,AZ,22.15,0,Jan-00,0,0,0,11,0,14345,45.80%,21,f
11.22%,131649,131639,"$6,625","$6,625","$1,025", 36 months,C,C4,The Mustang Shop,3 years,RENT,50000,not verified,Oct-07,"I have a home-based business that has been quite successful for the last few months.  Because of our success, I have decided with my partners to seek additional funding to promote this endevor to a level that will support my family for many years.  My business deals directly with web marketing through the owernship of websites with imbedded advertising mediums.  I have very good credit and the return on our investments to date with easily support the paypack of my loan in a far shorter time that the time scheduled.  Thank you for you consideration.",small_business,Strong Web Business Seeks Fundraising,980xx,WA,18.38,0,Jul-98,1,41,0,11,0,113,2.40%,21,f
13.75%,131782,131769,"$7,725","$7,725","$1,025", 36 months,E,E2,Paul Scherer & Company LLP,< 1 year,RENT,62200,not verified,Oct-07,"I currently have 7 credit card accounts totalling approximately $10,000 in debt. I feel as though it is an unending cycle and trying to make 7 separate payments every month is a big hassle. I am trying to reduce the clutter and start living without debt.",debt_consolidation,Debt Consolidation,100xx,NY,9.8,0,Apr-99,3,0,0,8,0,12231,81%,13,f
14.67%,132062,130915,"$7,200","$7,200","$1,250", 36 months,E,E5,MGH,3 years,RENT,57000,not verified,Oct-07,"My plan is to use this loan to pay off highest interest rate credit cards, which I have been battling with for years. ",debt_consolidation,Consolidate and lower rate,015xx,MA,20.76,1,Jun-97,0,8,0,14,0,13552,69.10%,18,f
10.28%,132172,132154,"$6,000","$6,000",$900, 36 months,C,C1,SSE Inc,< 1 year,MORTGAGE,87300,not verified,Oct-07,I am using this loan for some debt consolidation that was built up while moving.  I just want to get it off the cards so I can get it payed off faster.  I have never missed a payment.  I have a good credit score with a good credit history.  I have worked in my current field full time for 6 years with no downtime between jobs.,credit_card,Debt Consolidation - 0 missed payments,633xx,MO,10.6,0,Nov-00,0,0,0,11,0,16813,63.90%,13,f
12.49%,132892,132889,"$9,000","$9,000",$700, 36 months,D,D3,Maximus,8 years,MORTGAGE,39000,not verified,Oct-07,I would like to pay off my credit cards and a loan with cash call.  ,debt_consolidation,Pay off debt,207xx,MD,5.08,0,Aug-97,3,60,117,9,1,26233,62.90%,37,f
,132946,132940,"$5,275","$5,275",$975, 36 months,A,A2,State of NC / ESC,9 years,MORTGAGE,85000,not verified,Oct-07,Camping membership,other,Travel Resorts of America,286xx,NC,2.64,0,Jul-82,0,0,0,7,0,5760,16%,10,f
10.28%,133301,133259,"$4,650","$4,650",$775, 36 months,C,C1,pepsi cola,10+ years,MORTGAGE,45600,not verified,Oct-07,buying a ownership at lost valley lake resort,other,udi,630xx,MO,3.26,1,Nov-89,1,22,0,3,0,105,35%,25,f
